Indicator Name	Indicator Code	Country Name	Country Code	2000	2010
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	High income	HIC	3.938563967	3.281464006
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	High income: nonOECD	NOC	6.367080036	7.300424765
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	High income: OECD	OEC	3.834901954	3.064040427
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Honduras	HND	5.748148148	2.773255005
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Hong Kong SAR, China"	HKG	7.663389738	6.786581216
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Hungary	HUN	4.225237526	1.258152876
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Iceland	ISL	4.324660825	-4.011970622
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	India	IND	3.975052681	9.552869415
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Indonesia	IDN	4.920064597	6.195358535
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Iran, Islamic Rep."	IRN	5.143162536	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Iraq	IRQ	-4.3	0.8443
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Ireland	IRL	9.297313714	-0.429352387
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Isle of Man	IMY	5.338364279	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Israel	ISR	9.254878115	4.845925338
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Italy	ITA	3.653596071	1.811401808
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Jamaica	JAM	0.878703546	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Japan	JPN	2.257495302	4.43511325
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Jordan	JOR	4.244562752	2.307055764
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Kazakhstan	KAZ	9.800000001	7.299999999
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Kenya	KEN	0.599695393	5.764902975
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Kiribati	KIR	7.242506692	1.4
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Korea, Dem. Rep."	PRK		
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Korea, Rep."	KOR	8.486194114	6.320254036
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Kosovo	KSV		3.9
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Kuwait	KWT	4.694582091	3.41
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Kyrgyz Republic	KGZ	5.426673766	-0.471566606
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Lao PDR	LAO	5.798782326	8.526905517
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Latin America & Caribbean (all income levels)	LCN	3.956605308	6.00799035
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Latin America & Caribbean (developing only)	LAC	3.968963022	6.249224278
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Latvia	LVA	6.913911315	-0.343503564
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Least developed countries: UN classification	LDC	4.543748985	5.891601473
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Lebanon	LBN	1.34406653	7
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Lesotho	LSO	5.660417888	5.608707089
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Liberia	LBR	25.69999884	10.9425022
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Libya	LBY	3.7	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Liechtenstein	LIE	3.220190289	
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Lithuania	LTU	3.250722236	1.330192805
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Low & middle income	LMY	5.366632944	7.677002252
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Low income	LIC	3.491235615	6.117859831
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Lower middle income	LMC	4.032042908	7.272357625
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Luxembourg	LUX	8.441852323	2.914964435
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Macao SAR, China"	MAC	5.7	27.03592001
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Macedonia, FYR"	MKD	4.54903837	1.775478211
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Madagascar	MDG	4.760065095	1.565685967
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Malawi	MWI	1.576077841	6.533362436
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Malaysia	MYS	8.858868102	7.15401566
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Maldives	MDV	4.768509345	5.723732441
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Mali	MLI	3.2	5.8
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Malta	MLT	6.77019381	2.711745796
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Marshall Islands	MHL	5.890676039	5.202210104
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Mauritania	MRT	-0.430406256	5.185906804
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Mauritius	MUS	9.026614062	4.131717977
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Mexico	MEX	6.601984351	5.532375327
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	"Micronesia, Fed. Sts."	FSM	4.563228657	2.530561756
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Middle East & North Africa (all income levels)	MEA	5.384487497	4.478845459
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Middle East & North Africa (developing only)	MNA	3.372755595	4.179361321
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Middle income	MIC	5.414339295	7.715198873
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Moldova	MDA	2.1	7.094071762
GDP growth (annual %)	NY.GDP.MKTP.KD.ZG	Monaco	MCO	3.910231911	
